ts_iso,target,rtt_ms
2026-03-18T17:32:43.421486+00:00,192.168.1.85,1.11
2026-03-18T17:32:43.622415+00:00,192.168.1.85,1.41
2026-03-18T17:32:43.822641+00:00,192.168.1.85,1.01
2026-03-18T17:32:44.025299+00:00,192.168.1.85,1.82
2026-03-18T17:32:44.228279+00:00,192.168.1.85,2.3
2026-03-18T17:32:44.427820+00:00,192.168.1.85,0.953
2026-03-18T17:32:44.632696+00:00,192.168.1.85,1.31
2026-03-18T17:32:44.833942+00:00,192.168.1.85,1.29
2026-03-18T17:32:45.035534+00:00,192.168.1.85,1.54
2026-03-18T17:32:45.236610+00:00,192.168.1.85,1.1
2026-03-18T17:32:45.437893+00:00,192.168.1.85,0.878
2026-03-18T17:32:45.640507+00:00,192.168.1.85,1.02
2026-03-18T17:32:45.841162+00:00,192.168.1.85,1.22
2026-03-18T17:32:46.042507+00:00,192.168.1.85,1.02
2026-03-18T17:32:46.243969+00:00,192.168.1.85,1.52
2026-03-18T17:32:46.444722+00:00,192.168.1.85,1.08
2026-03-18T17:32:46.644950+00:00,192.168.1.85,0.886
2026-03-18T17:32:46.848292+00:00,192.168.1.85,0.983
2026-03-18T17:32:47.049261+00:00,192.168.1.85,1.02
2026-03-18T17:32:47.250039+00:00,192.168.1.85,1.38
2026-03-18T17:32:47.452058+00:00,192.168.1.85,1.48
2026-03-18T17:32:47.652477+00:00,192.168.1.85,1.22
2026-03-18T17:32:47.853634+00:00,192.168.1.85,0.78
2026-03-18T17:32:48.056139+00:00,192.168.1.85,0.851
2026-03-18T17:32:48.265001+00:00,192.168.1.85,1.35
2026-03-18T17:32:48.466783+00:00,192.168.1.85,1.24
2026-03-18T17:32:48.670636+00:00,192.168.1.85,1.74
2026-03-18T17:32:48.875050+00:00,192.168.1.85,2.26
2026-03-18T17:32:49.075376+00:00,192.168.1.85,2.05
2026-03-18T17:32:49.275662+00:00,192.168.1.85,1.94
2026-03-18T17:32:49.476613+00:00,192.168.1.85,1.57
2026-03-18T17:32:49.677474+00:00,192.168.1.85,1.5
2026-03-18T17:32:49.877568+00:00,192.168.1.85,0.832
2026-03-18T17:32:50.080300+00:00,192.168.1.85,1.13
2026-03-18T17:32:50.281329+00:00,192.168.1.85,1.49
2026-03-18T17:32:50.482358+00:00,192.168.1.85,1.15
2026-03-18T17:32:50.683420+00:00,192.168.1.85,1.44
2026-03-18T17:32:50.883954+00:00,192.168.1.85,1.15
2026-03-18T17:32:51.085604+00:00,192.168.1.85,1.33
2026-03-18T17:32:51.287995+00:00,192.168.1.85,2.0
2026-03-18T17:32:51.488063+00:00,192.168.1.85,1.38
2026-03-18T17:32:51.691726+00:00,192.168.1.85,1.44
2026-03-18T17:32:51.894126+00:00,192.168.1.85,2.36
2026-03-18T17:32:52.094748+00:00,192.168.1.85,1.36
2026-03-18T17:32:52.298822+00:00,192.168.1.85,1.91
2026-03-18T17:32:52.498842+00:00,192.168.1.85,1.38
2026-03-18T17:32:52.700683+00:00,192.168.1.85,1.54
2026-03-18T17:32:52.903636+00:00,192.168.1.85,1.4
2026-03-18T17:32:53.106822+00:00,192.168.1.85,2.24
2026-03-18T17:32:53.308814+00:00,192.168.1.85,2.41
2026-03-18T17:32:53.510775+00:00,192.168.1.85,2.4
2026-03-18T17:32:53.712080+00:00,192.168.1.85,2.4
2026-03-18T17:32:53.913918+00:00,192.168.1.85,2.41
2026-03-18T17:32:54.114858+00:00,192.168.1.85,2.37
2026-03-18T17:32:54.315817+00:00,192.168.1.85,1.72
2026-03-18T17:32:54.518211+00:00,192.168.1.85,2.24
2026-03-18T17:32:54.720048+00:00,192.168.1.85,2.31
2026-03-18T17:32:54.920339+00:00,192.168.1.85,2.0
2026-03-18T17:32:55.122072+00:00,192.168.1.85,2.39
2026-03-18T17:32:55.322763+00:00,192.168.1.85,2.06
2026-03-18T17:32:55.523055+00:00,192.168.1.85,1.79
2026-03-18T17:32:55.724660+00:00,192.168.1.85,1.94
2026-03-18T17:32:55.925097+00:00,192.168.1.85,1.91
2026-03-18T17:32:56.125771+00:00,192.168.1.85,1.8
2026-03-18T17:32:56.327534+00:00,192.168.1.85,2.08
2026-03-18T17:32:56.529615+00:00,192.168.1.85,2.37
2026-03-18T17:32:56.732032+00:00,192.168.1.85,2.3
2026-03-18T17:32:56.934797+00:00,192.168.1.85,1.85
2026-03-18T17:32:57.137635+00:00,192.168.1.85,2.35
2026-03-18T17:32:57.337660+00:00,192.168.1.85,1.8
2026-03-18T17:32:57.539569+00:00,192.168.1.85,2.37
2026-03-18T17:32:57.740640+00:00,192.168.1.85,2.31
2026-03-18T17:32:57.941909+00:00,192.168.1.85,1.8
2026-03-18T17:32:58.143570+00:00,192.168.1.85,2.16
2026-03-18T17:32:58.347016+00:00,192.168.1.85,1.76
2026-03-18T17:32:58.551272+00:00,192.168.1.85,1.72
2026-03-18T17:32:58.754068+00:00,192.168.1.85,2.26
2026-03-18T17:32:58.958110+00:00,192.168.1.85,2.23
2026-03-18T17:32:59.160153+00:00,192.168.1.85,2.38
2026-03-18T17:32:59.361762+00:00,192.168.1.85,2.08
2026-03-18T17:32:59.563551+00:00,192.168.1.85,2.14
2026-03-18T17:32:59.764836+00:00,192.168.1.85,2.37
2026-03-18T17:32:59.966038+00:00,192.168.1.85,2.25
2026-03-18T17:33:00.165981+00:00,192.168.1.85,1.45
2026-03-18T17:33:00.367439+00:00,192.168.1.85,1.96
2026-03-18T17:33:00.568602+00:00,192.168.1.85,2.08
2026-03-18T17:33:00.771650+00:00,192.168.1.85,1.83
2026-03-18T17:33:00.977150+00:00,192.168.1.85,1.77
2026-03-18T17:33:01.178676+00:00,192.168.1.85,1.72
2026-03-18T17:33:01.380718+00:00,192.168.1.85,1.89
2026-03-18T17:33:01.582291+00:00,192.168.1.85,2.29
2026-03-18T17:33:01.783730+00:00,192.168.1.85,1.66
2026-03-18T17:33:01.986402+00:00,192.168.1.85,2.52
2026-03-18T17:33:02.187486+00:00,192.168.1.85,2.39
2026-03-18T17:33:02.393036+00:00,192.168.1.85,2.14
2026-03-18T17:33:02.593850+00:00,192.168.1.85,2.34
2026-03-18T17:33:02.794857+00:00,192.168.1.85,2.16
2026-03-18T17:33:02.995818+00:00,192.168.1.85,2.32
2026-03-18T17:33:03.197355+00:00,192.168.1.85,2.29
2026-03-18T17:33:03.398246+00:00,192.168.1.85,2.14
2026-03-18T17:33:03.600234+00:00,192.168.1.85,2.24
2026-03-18T17:33:03.801478+00:00,192.168.1.85,2.26
2026-03-18T17:33:04.002370+00:00,192.168.1.85,2.33
2026-03-18T17:33:04.204054+00:00,192.168.1.85,2.36
2026-03-18T17:33:04.405085+00:00,192.168.1.85,2.07
2026-03-18T17:33:04.606669+00:00,192.168.1.85,2.4
2026-03-18T17:33:04.808153+00:00,192.168.1.85,2.43
2026-03-18T17:33:05.009266+00:00,192.168.1.85,2.3
2026-03-18T17:33:05.209895+00:00,192.168.1.85,1.85
2026-03-18T17:33:05.411373+00:00,192.168.1.85,1.96
2026-03-18T17:33:05.611695+00:00,192.168.1.85,1.88
2026-03-18T17:33:05.813236+00:00,192.168.1.85,1.91
2026-03-18T17:33:06.014114+00:00,192.168.1.85,1.39
2026-03-18T17:33:06.216756+00:00,192.168.1.85,2.25
2026-03-18T17:33:06.417754+00:00,192.168.1.85,2.26
2026-03-18T17:33:06.619813+00:00,192.168.1.85,2.3
2026-03-18T17:33:06.820361+00:00,192.168.1.85,1.92
2026-03-18T17:33:07.021729+00:00,192.168.1.85,2.43
