ts_iso,target,rtt_ms
2026-03-18T17:40:04.005801+00:00,1.1.1.1,10.6
2026-03-18T17:40:04.207850+00:00,1.1.1.1,10.3
2026-03-18T17:40:04.409625+00:00,1.1.1.1,10.9
2026-03-18T17:40:04.611962+00:00,1.1.1.1,11.3
2026-03-18T17:40:04.812998+00:00,1.1.1.1,10.4
2026-03-18T17:40:05.017047+00:00,1.1.1.1,11.4
2026-03-18T17:40:05.220025+00:00,1.1.1.1,12.1
2026-03-18T17:40:05.425644+00:00,1.1.1.1,12.2
2026-03-18T17:40:05.630972+00:00,1.1.1.1,12.6
2026-03-18T17:40:05.832487+00:00,1.1.1.1,12.3
2026-03-18T17:40:06.035296+00:00,1.1.1.1,12.2
2026-03-18T17:40:06.235385+00:00,1.1.1.1,11.4
2026-03-18T17:40:06.436165+00:00,1.1.1.1,11.1
2026-03-18T17:40:06.639442+00:00,1.1.1.1,12.5
2026-03-18T17:40:06.840340+00:00,1.1.1.1,12.3
2026-03-18T17:40:07.043553+00:00,1.1.1.1,12.6
2026-03-18T17:40:07.243537+00:00,1.1.1.1,11.0
2026-03-18T17:40:07.444596+00:00,1.1.1.1,11.0
2026-03-18T17:40:07.645531+00:00,1.1.1.1,11.3
2026-03-18T17:40:07.847600+00:00,1.1.1.1,11.7
2026-03-18T17:40:08.048183+00:00,1.1.1.1,11.3
2026-03-18T17:40:08.248723+00:00,1.1.1.1,11.0
2026-03-18T17:40:08.449595+00:00,1.1.1.1,11.5
2026-03-18T17:40:08.650211+00:00,1.1.1.1,10.7
2026-03-18T17:40:08.851393+00:00,1.1.1.1,10.5
2026-03-18T17:40:09.052676+00:00,1.1.1.1,10.9
2026-03-18T17:40:09.253821+00:00,1.1.1.1,10.6
2026-03-18T17:40:09.459782+00:00,1.1.1.1,10.6
2026-03-18T17:40:09.661193+00:00,1.1.1.1,11.0
2026-03-18T17:40:09.860986+00:00,1.1.1.1,10.3
2026-03-18T17:40:10.063101+00:00,1.1.1.1,10.8
2026-03-18T17:40:10.265005+00:00,1.1.1.1,11.3
2026-03-18T17:40:10.466114+00:00,1.1.1.1,11.5
2026-03-18T17:40:10.667353+00:00,1.1.1.1,11.3
2026-03-18T17:40:10.867644+00:00,1.1.1.1,11.0
2026-03-18T17:40:11.069381+00:00,1.1.1.1,11.1
2026-03-18T17:40:11.274813+00:00,1.1.1.1,11.0
2026-03-18T17:40:11.476216+00:00,1.1.1.1,11.7
2026-03-18T17:40:11.680550+00:00,1.1.1.1,12.1
2026-03-18T17:40:11.883738+00:00,1.1.1.1,12.2
2026-03-18T17:40:12.085046+00:00,1.1.1.1,11.8
2026-03-18T17:40:12.289110+00:00,1.1.1.1,12.2
2026-03-18T17:40:12.490749+00:00,1.1.1.1,12.4
2026-03-18T17:40:12.691331+00:00,1.1.1.1,11.9
2026-03-18T17:40:12.892188+00:00,1.1.1.1,12.2
2026-03-18T17:40:13.096851+00:00,1.1.1.1,12.0
2026-03-18T17:40:13.302875+00:00,1.1.1.1,12.4
2026-03-18T17:40:13.508618+00:00,1.1.1.1,12.2
2026-03-18T17:40:13.710566+00:00,1.1.1.1,11.8
